sample	sample1	sample2	ratio1	ratio2	reads1	reads2
MSK10196ACH_MRL0001CH_1_99	MSK10196ACH	MRL0001CH	1	99	1000000	99000000
MSK10196ACH_MRL0001CH_10_90	MSK10196ACH	MRL0001CH	10	90	10000000	90000000
MSK10196ACH_MRL0001CH_25_75	MSK10196ACH	MRL0001CH	25	75	25000000	75000000
MSK10196ACH_MRL0001CH_5_95	MSK10196ACH	MRL0001CH	5	95	5000000	95000000
MSK10196ACH_MRL0001CH_50_50	MSK10196ACH	MRL0001CH	50	50	50000000	50000000
MSK10196ACH_MRL0002CH_1_99	MSK10196ACH	MRL0002CH	1	99	1000000	99000000
MSK10196ACH_MRL0002CH_10_90	MSK10196ACH	MRL0002CH	10	90	10000000	90000000
MSK10196ACH_MRL0002CH_25_75	MSK10196ACH	MRL0002CH	25	75	25000000	75000000
MSK10196ACH_MRL0002CH_5_95	MSK10196ACH	MRL0002CH	5	95	5000000	95000000
MSK10196ACH_MRL0002CH_50_50	MSK10196ACH	MRL0002CH	50	50	50000000	50000000
MSK10196ACH_MRL0003CH_1_99	MSK10196ACH	MRL0003CH	1	99	1000000	99000000
MSK10196ACH_MRL0003CH_10_90	MSK10196ACH	MRL0003CH	10	90	10000000	90000000
MSK10196ACH_MRL0003CH_25_75	MSK10196ACH	MRL0003CH	25	75	25000000	75000000
MSK10196ACH_MRL0003CH_5_95	MSK10196ACH	MRL0003CH	5	95	5000000	95000000
MSK10196ACH_MRL0003CH_50_50	MSK10196ACH	MRL0003CH	50	50	50000000	50000000
MSK10196ACH_MRL0004CH_1_99	MSK10196ACH	MRL0004CH	1	99	1000000	99000000
MSK10196ACH_MRL0004CH_10_90	MSK10196ACH	MRL0004CH	10	90	10000000	90000000
MSK10196ACH_MRL0004CH_25_75	MSK10196ACH	MRL0004CH	25	75	25000000	75000000
MSK10196ACH_MRL0004CH_5_95	MSK10196ACH	MRL0004CH	5	95	5000000	95000000
MSK10196ACH_MRL0004CH_50_50	MSK10196ACH	MRL0004CH	50	50	50000000	50000000
MSK10196ACH_MRL0005CH_1_99	MSK10196ACH	MRL0005CH	1	99	1000000	99000000
MSK10196ACH_MRL0005CH_10_90	MSK10196ACH	MRL0005CH	10	90	10000000	90000000
MSK10196ACH_MRL0005CH_25_75	MSK10196ACH	MRL0005CH	25	75	25000000	75000000
MSK10196ACH_MRL0005CH_5_95	MSK10196ACH	MRL0005CH	5	95	5000000	95000000
MSK10196ACH_MRL0005CH_50_50	MSK10196ACH	MRL0005CH	50	50	50000000	50000000
MSK10196ACH_MRL0006CH_1_99	MSK10196ACH	MRL0006CH	1	99	1000000	99000000
MSK10196ACH_MRL0006CH_10_90	MSK10196ACH	MRL0006CH	10	90	10000000	90000000
MSK10196ACH_MRL0006CH_25_75	MSK10196ACH	MRL0006CH	25	75	25000000	75000000
MSK10196ACH_MRL0006CH_5_95	MSK10196ACH	MRL0006CH	5	95	5000000	95000000
MSK10196ACH_MRL0006CH_50_50	MSK10196ACH	MRL0006CH	50	50	50000000	50000000
MSK10196ACH_MRL0008CH_1_99	MSK10196ACH	MRL0008CH	1	99	1000000	99000000
MSK10196ACH_MRL0008CH_10_90	MSK10196ACH	MRL0008CH	10	90	10000000	90000000
MSK10196ACH_MRL0008CH_25_75	MSK10196ACH	MRL0008CH	25	75	25000000	75000000
MSK10196ACH_MRL0008CH_5_95	MSK10196ACH	MRL0008CH	5	95	5000000	95000000
MSK10196ACH_MRL0008CH_50_50	MSK10196ACH	MRL0008CH	50	50	50000000	50000000
MSK10196ACH_MRL0010CH_1_99	MSK10196ACH	MRL0010CH	1	99	1000000	99000000
MSK10196ACH_MRL0010CH_10_90	MSK10196ACH	MRL0010CH	10	90	10000000	90000000
MSK10196ACH_MRL0010CH_25_75	MSK10196ACH	MRL0010CH	25	75	25000000	75000000
MSK10196ACH_MRL0010CH_5_95	MSK10196ACH	MRL0010CH	5	95	5000000	95000000
MSK10196ACH_MRL0010CH_50_50	MSK10196ACH	MRL0010CH	50	50	50000000	50000000
MSK10196ACH_MRL0012CH_1_99	MSK10196ACH	MRL0012CH	1	99	1000000	99000000
MSK10196ACH_MRL0012CH_10_90	MSK10196ACH	MRL0012CH	10	90	10000000	90000000
MSK10196ACH_MRL0012CH_25_75	MSK10196ACH	MRL0012CH	25	75	25000000	75000000
MSK10196ACH_MRL0012CH_5_95	MSK10196ACH	MRL0012CH	5	95	5000000	95000000
MSK10196ACH_MRL0012CH_50_50	MSK10196ACH	MRL0012CH	50	50	50000000	50000000
MSK10196ACH_MRL0013CH_1_99	MSK10196ACH	MRL0013CH	1	99	1000000	99000000
MSK10196ACH_MRL0013CH_10_90	MSK10196ACH	MRL0013CH	10	90	10000000	90000000
MSK10196ACH_MRL0013CH_25_75	MSK10196ACH	MRL0013CH	25	75	25000000	75000000
MSK10196ACH_MRL0013CH_5_95	MSK10196ACH	MRL0013CH	5	95	5000000	95000000
MSK10196ACH_MRL0013CH_50_50	MSK10196ACH	MRL0013CH	50	50	50000000	50000000
MSK10196ACH_MRL0014CH_1_99	MSK10196ACH	MRL0014CH	1	99	1000000	99000000
MSK10196ACH_MRL0014CH_10_90	MSK10196ACH	MRL0014CH	10	90	10000000	90000000
MSK10196ACH_MRL0014CH_25_75	MSK10196ACH	MRL0014CH	25	75	25000000	75000000
MSK10196ACH_MRL0014CH_5_95	MSK10196ACH	MRL0014CH	5	95	5000000	95000000
MSK10196ACH_MRL0014CH_50_50	MSK10196ACH	MRL0014CH	50	50	50000000	50000000
MSK10196ACH_MRL0015CH_1_99	MSK10196ACH	MRL0015CH	1	99	1000000	99000000
MSK10196ACH_MRL0015CH_10_90	MSK10196ACH	MRL0015CH	10	90	10000000	90000000
MSK10196ACH_MRL0015CH_25_75	MSK10196ACH	MRL0015CH	25	75	25000000	75000000
MSK10196ACH_MRL0015CH_5_95	MSK10196ACH	MRL0015CH	5	95	5000000	95000000
MSK10196ACH_MRL0015CH_50_50	MSK10196ACH	MRL0015CH	50	50	50000000	50000000
MSK10196ACH_MRL0017CH_1_99	MSK10196ACH	MRL0017CH	1	99	1000000	99000000
MSK10196ACH_MRL0017CH_10_90	MSK10196ACH	MRL0017CH	10	90	10000000	90000000
MSK10196ACH_MRL0017CH_25_75	MSK10196ACH	MRL0017CH	25	75	25000000	75000000
MSK10196ACH_MRL0017CH_5_95	MSK10196ACH	MRL0017CH	5	95	5000000	95000000
MSK10196ACH_MRL0017CH_50_50	MSK10196ACH	MRL0017CH	50	50	50000000	50000000
MSK10196ACH_MRL0018CH_1_99	MSK10196ACH	MRL0018CH	1	99	1000000	99000000
MSK10196ACH_MRL0018CH_10_90	MSK10196ACH	MRL0018CH	10	90	10000000	90000000
MSK10196ACH_MRL0018CH_25_75	MSK10196ACH	MRL0018CH	25	75	25000000	75000000
MSK10196ACH_MRL0018CH_5_95	MSK10196ACH	MRL0018CH	5	95	5000000	95000000
MSK10196ACH_MRL0018CH_50_50	MSK10196ACH	MRL0018CH	50	50	50000000	50000000
MSK10196ACH_MRL0028CH_1_99	MSK10196ACH	MRL0028CH	1	99	1000000	99000000
MSK10196ACH_MRL0028CH_10_90	MSK10196ACH	MRL0028CH	10	90	10000000	90000000
MSK10196ACH_MRL0028CH_25_75	MSK10196ACH	MRL0028CH	25	75	25000000	75000000
MSK10196ACH_MRL0028CH_5_95	MSK10196ACH	MRL0028CH	5	95	5000000	95000000
MSK10196ACH_MRL0028CH_50_50	MSK10196ACH	MRL0028CH	50	50	50000000	50000000
MSK10196ACH_MRL0056CH_1_99	MSK10196ACH	MRL0056CH	1	99	1000000	99000000
MSK10196ACH_MRL0056CH_10_90	MSK10196ACH	MRL0056CH	10	90	10000000	90000000
MSK10196ACH_MRL0056CH_25_75	MSK10196ACH	MRL0056CH	25	75	25000000	75000000
MSK10196ACH_MRL0056CH_5_95	MSK10196ACH	MRL0056CH	5	95	5000000	95000000
MSK10196ACH_MRL0056CH_50_50	MSK10196ACH	MRL0056CH	50	50	50000000	50000000
MSK10196ACH_MRL0057CH_1_99	MSK10196ACH	MRL0057CH	1	99	1000000	99000000
MSK10196ACH_MRL0057CH_10_90	MSK10196ACH	MRL0057CH	10	90	10000000	90000000
MSK10196ACH_MRL0057CH_25_75	MSK10196ACH	MRL0057CH	25	75	25000000	75000000
MSK10196ACH_MRL0057CH_5_95	MSK10196ACH	MRL0057CH	5	95	5000000	95000000
MSK10196ACH_MRL0057CH_50_50	MSK10196ACH	MRL0057CH	50	50	50000000	50000000
MSK10196ACH_MRL0058CH_1_99	MSK10196ACH	MRL0058CH	1	99	1000000	99000000
MSK10196ACH_MRL0058CH_10_90	MSK10196ACH	MRL0058CH	10	90	10000000	90000000
MSK10196ACH_MRL0058CH_25_75	MSK10196ACH	MRL0058CH	25	75	25000000	75000000
