feature_table	gene_panel	Bladder	ERneg	ERpos	NEPC	NSCLC	Normal	Prostate	RCC	SCLC	mean_roc
All Exons Depth	UW	0.9416767108611223	0.9137073254417567	0.9580203442879499	0.986698717948718	0.8709552304964538	0.9789145581224789	0.9813443670150988	0.9292929292929293	0.8659638554216867	0.9362860043209105
E1 Depth	UW	0.9444890853086916	0.8970663921770458	0.9610328638497653	0.9940705128205128	0.8791001773049645	0.9885405207187385	0.9856755710414247	0.9261216819356354	0.8332831325301205	0.9343755486318777
All Exons MDS	UW	0.9423463238248292	0.8953508320466632	0.9506259780907669	0.9592948717948718	0.8507867907801419	0.9716721672167217	0.972173828881146	0.8920601362461827	0.9131024096385542	0.9274903709466531
Full Gene Depth	UW	0.9536627829114772	0.8206381883685023	0.961737089201878	0.9915064102564103	0.8403147163120568	0.9770810414374771	0.9820460704607046	0.8888301620859761	0.8484939759036144	0.9182567152153441
All Combined	UW	0.9278826838087585	0.8960370560988162	0.9479264475743349	0.9834935897435897	0.8344414893617021	0.9525119178584525	0.9722706155632985	0.8790815128024431	0.8234939759036145	0.91301547652389
E1 MDS	UW	0.8948707646980045	0.8864299193686739	0.9336854460093896	0.9399038461538461	0.8101174645390071	0.9771727172717272	0.954655439411537	0.8993422598073761	0.8414156626506024	0.904177057767796
All Exons SE	UW	0.8911878933976162	0.8941499399553954	0.9222222222222223	0.9899038461538462	0.8299534574468085	0.9416941694169416	0.9697299651567944	0.8832511158092553	0.8097891566265061	0.9035424184650429
All Exons Small Fragments	UW	0.9284183741797241	0.8716761022473838	0.9285602503912364	0.9628205128205128	0.8255762411347518	0.9182251558489182	0.9555023228803716	0.8747944561898051	0.8055722891566265	0.8967939672054811
TFBS Entropy	UW	0.912950314718093	0.8240693086292674	0.9167057902973396	0.9560897435897436	0.8505651595744681	0.9599376604327099	0.9406939605110337	0.8612872915198497	0.7870481927710843	0.8899274913381766
E1 SE	UW	0.8623945359582161	0.8082003774232287	0.9212441314553991	0.9850961538461539	0.785017730496454	0.9627796112944628	0.972367402245451	0.8461945031712473	0.7828313253012048	0.8806806412435353
